REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","PWRDIE","DELC",2021,0.0451696711073583
"SC","PWRDIE","DELC",2022,0.0514187871073583
"SC","PWRDIE","DELC",2023,0.04678053966345
"SC","PWRDIE","DELC",2024,0.04
"SC","PWRDIE","DELC",2025,0.04
"SC","PWRDIE","DELC",2026,0.04
"SC","PWRDIE","DELC",2027,0.04
"SC","PWRDIE","DELC",2028,0.04
"SC","PWRDIE","DELC",2029,0.04
"SC","PWRDIE","DELC",2030,0.0400000000000001
"SC","PWRDIE","DELC",2031,0.0400000000000001
"SC","PWRDIE","DELC",2032,0.04
"SC","PWRDIE","DELC",2033,0.04
"SC","PWRDIE","DELC",2034,0.04
"SC","PWRDIE","DELC",2035,0.0399999999999999
"SC","PWRDIE","DELC",2036,0.04
"SC","PWRDIE","DELC",2037,0.04
"SC","PWRDIE","DELC",2038,0.04
"SC","PWRDIE","DELC",2039,0.0399999999999999
"SC","PWRDIE","DELC",2040,0.04
"SC","PWRDIE","DELC",2041,0.04
"SC","PWRDIE","DELC",2042,0.04
"SC","PWRDIE","DELC",2043,0.04
"SC","PWRDIE","DELC",2044,0.04
"SC","PWRDIE","DELC",2045,0.04
"SC","PWRDIE","DELC",2046,0.04
"SC","PWRDIE","DELC",2047,0.04
"SC","PWRDIE","DELC",2048,0.04
"SC","PWRDIE","DELC",2049,0.04
"SC","PWRDIE","DELC",2050,0.04
"SC","PWRWND","ELC001",2019,0.008249
"SC","PWRWND","ELC001",2020,0.007759
"SC","PWRWND","ELC001",2021,0.005322
"SC","PWRWND","ELC001",2022,0.009748
"SC","PWRWND","ELC001",2023,0.0155717914439085
"SC","PWRWND","ELC001",2024,0.0153883982483058
"SC","PWRWND","ELC001",2025,0.0163261594916155
"SC","PWRWND","ELC001",2026,0.016437502615483
"SC","PWRWND","ELC001",2027,0.0167706508237788
"SC","PWRWND","ELC001",2028,0.0188147600989241
"SC","PWRWND","ELC001",2029,0.0241639376958038
"SC","PWRWND","ELC001",2030,0.0231146022134296
"SC","PWRWND","ELC001",2031,0.0250302312859538
"SC","PWRWND","ELC001",2032,0.0246007964064687
"SC","PWRWND","ELC001",2033,0.0217432347860422
"SC","PWRWND","ELC001",2034,0.0241896322076896
"SC","PWRWND","ELC001",2035,0.025227249138619
"SC","PWRWND","ELC001",2036,0.0238566922893548
"SC","PWRWND","ELC001",2037,0.0243660787860424
"SC","PWRWND","ELC001",2038,0.0253236745672116
"SC","PWRWND","ELC001",2039,0.025770403565367
"SC","PWRWND","ELC001",2040,0.0266082619297288
"SC","PWRWND","ELC001",2041,0.0272198451580582
"SC","PWRWND","ELC001",2042,0.0278905876786841
"SC","PWRWND","ELC001",2043,0.0286295478232699
"SC","PWRWND","ELC001",2044,0.0297888746786842
"SC","PWRWND","ELC001",2045,0.0309757506786844
"SC","PWRWND","ELC001",2046,0.031143582887817
"SC","PWRWND","ELC001",2047,0.031143582887817
"SC","PWRWND","ELC001",2048,0.031143582887817
"SC","PWRWND","ELC001",2049,0.00724768122807652
"SC","PWRWND","ELC001",2050,0.00724768122807652
"SC","PWRWND","DELC",2019,0.008249
"SC","PWRWND","DELC",2020,0.007759
"SC","PWRWND","DELC",2021,0.005322
"SC","PWRWND","DELC",2022,0.009748
"SC","PWRWND","DELC",2023,0.0155717914439085
"SC","PWRWND","DELC",2024,0.0153883982483058
"SC","PWRWND","DELC",2025,0.0163261594916155
"SC","PWRWND","DELC",2026,0.016437502615483
"SC","PWRWND","DELC",2027,0.0167706508237788
"SC","PWRWND","DELC",2028,0.0188147600989241
"SC","PWRWND","DELC",2029,0.0241639376958038
"SC","PWRWND","DELC",2030,0.0231146022134296
"SC","PWRWND","DELC",2031,0.0250302312859538
"SC","PWRWND","DELC",2032,0.0246007964064687
"SC","PWRWND","DELC",2033,0.0217432347860422
"SC","PWRWND","DELC",2034,0.0241896322076896
"SC","PWRWND","DELC",2035,0.025227249138619
"SC","PWRWND","DELC",2036,0.0238566922893548
"SC","PWRWND","DELC",2037,0.0243660787860424
"SC","PWRWND","DELC",2038,0.0253236745672116
"SC","PWRWND","DELC",2039,0.025770403565367
"SC","PWRWND","DELC",2040,0.0266082619297288
"SC","PWRWND","DELC",2041,0.0272198451580582
"SC","PWRWND","DELC",2042,0.0278905876786841
"SC","PWRWND","DELC",2043,0.0286295478232699
"SC","PWRWND","DELC",2044,0.0297888746786842
"SC","PWRWND","DELC",2045,0.0309757506786844
"SC","PWRWND","DELC",2046,0.031143582887817
"SC","PWRWND","DELC",2047,0.031143582887817
"SC","PWRWND","DELC",2048,0.031143582887817
"SC","PWRWND","DELC",2049,0.00724768122807652
"SC","PWRWND","DELC",2050,0.00724768122807652
"SC","PWRSOL","ELC001",2019,8.13548926415752e-05
"SC","PWRSOL","ELC001",2020,8.13548926415752e-05
"SC","PWRSOL","ELC001",2021,8.13548926415752e-05
"SC","PWRSOL","ELC001",2022,8.13548926415752e-05
"SC","PWRSOL","ELC001",2023,8.13548926415752e-05
"SC","PWRSOL","ELC001",2024,0.00966176224154322
"SC","PWRSOL","ELC001",2025,0.0109374814250112
"SC","PWRSOL","ELC001",2026,0.0130836999399259
"SC","PWRSOL","ELC001",2027,0.0145800340023584
"SC","PWRSOL","ELC001",2028,0.0146985085216119
"SC","PWRSOL","ELC001",2029,0.0116513157109846
"SC","PWRSOL","ELC001",2030,0.0145609402585268
"SC","PWRSOL","ELC001",2031,0.0133067116359899
"SC","PWRSOL","ELC001",2032,0.0142251102465507
"SC","PWRSOL","ELC001",2033,0.0176458762139577
"SC","PWRSOL","ELC001",2034,0.0162139265143163
"SC","PWRSOL","ELC001",2035,0.0157365924276514
"SC","PWRSOL","ELC001",2036,0.0176458762139577
"SC","PWRSOL","ELC001",2037,0.0176458762139577
"SC","PWRSOL","ELC001",2038,0.0173620064327885
"SC","PWRSOL","ELC001",2039,0.0176458762139577
"SC","PWRSOL","ELC001",2040,0.017463588589231
"SC","PWRSOL","ELC001",2041,0.0175315588419419
"SC","PWRSOL","ELC001",2042,0.0175645213213161
"SC","PWRSOL","ELC001",2043,0.0175369721767306
"SC","PWRSOL","ELC001",2044,0.0175645213213161
"SC","PWRSOL","ELC001",2045,0.0175645213213161
"SC","PWRSOL","ELC001",2046,0.0181835651121831
"SC","PWRSOL","ELC001",2047,0.019370441112183
"SC","PWRSOL","ELC001",2048,0.020557317112183
"SC","PWRSOL","ELC001",2049,0.0456400947719237
"SC","PWRSOL","ELC001",2050,0.0468269707719235
"SC","PWRSOL","DELC",2019,8.13548926415752e-05
"SC","PWRSOL","DELC",2020,8.13548926415752e-05
"SC","PWRSOL","DELC",2021,8.13548926415752e-05
"SC","PWRSOL","DELC",2022,8.13548926415752e-05
"SC","PWRSOL","DELC",2023,8.13548926415752e-05
"SC","PWRSOL","DELC",2024,0.00966176224154322
"SC","PWRSOL","DELC",2025,0.0109374814250112
"SC","PWRSOL","DELC",2026,0.0130836999399259
"SC","PWRSOL","DELC",2027,0.0145800340023584
"SC","PWRSOL","DELC",2028,0.0146985085216119
"SC","PWRSOL","DELC",2029,0.0116513157109846
"SC","PWRSOL","DELC",2030,0.0145609402585268
"SC","PWRSOL","DELC",2031,0.0133067116359899
"SC","PWRSOL","DELC",2032,0.0142251102465507
"SC","PWRSOL","DELC",2033,0.0176458762139577
"SC","PWRSOL","DELC",2034,0.0162139265143163
"SC","PWRSOL","DELC",2035,0.0157365924276514
"SC","PWRSOL","DELC",2036,0.0176458762139577
"SC","PWRSOL","DELC",2037,0.0176458762139577
"SC","PWRSOL","DELC",2038,0.0173620064327885
"SC","PWRSOL","DELC",2039,0.0176458762139577
"SC","PWRSOL","DELC",2040,0.017463588589231
"SC","PWRSOL","DELC",2041,0.0175315588419419
"SC","PWRSOL","DELC",2042,0.0175645213213161
"SC","PWRSOL","DELC",2043,0.0175369721767306
"SC","PWRSOL","DELC",2044,0.0175645213213161
"SC","PWRSOL","DELC",2045,0.0175645213213161
"SC","PWRSOL","DELC",2046,0.0181835651121831
"SC","PWRSOL","DELC",2047,0.019370441112183
"SC","PWRSOL","DELC",2048,0.020557317112183
"SC","PWRSOL","DELC",2049,0.0456400947719237
"SC","PWRSOL","DELC",2050,0.0468269707719235
"SC","BAT","ELC001",2019,0.00889653547566691
"SC","BAT","ELC001",2020,0.00455773141864012
"SC","BAT","ELC001",2021,0.00531690248681432
"SC","BAT","ELC001",2022,0.00989362076372794
"SC","BAT","ELC001",2023,0.0109476844555209
"SC","BAT","ELC001",2024,0.00427917659394462
"SC","BAT","ELC001",2025,0.00476112136197907
"SC","BAT","ELC001",2026,0.00486053241906533
"SC","BAT","ELC001",2027,0.00601309023339395
"SC","BAT","ELC001",2028,0.00633922149245634
"SC","BAT","ELC001",2029,0.00671892874976921
"SC","BAT","ELC001",2030,0.00748159029961378
"SC","BAT","ELC001",2031,0.00771347564224797
"SC","BAT","ELC001",2032,0.00829622020731675
"SC","BAT","ELC001",2033,0.0122689326773624
"SC","BAT","ELC001",2034,0.014781744604724
"SC","BAT","ELC001",2035,0.0151268739907306
"SC","BAT","ELC001",2036,0.0154812240650955
"SC","BAT","ELC001",2037,0.0158432313186594
"SC","BAT","ELC001",2038,0.0162109466130708
"SC","BAT","ELC001",2039,0.0165826844117975
"SC","BAT","ELC001",2040,0.0169673762308208
"SC","BAT","ELC001",2041,0.0173669481457043
"SC","BAT","ELC001",2042,0.0177982059360478
"SC","BAT","ELC001",2043,0.0322789183499533
"SC","BAT","ELC001",2044,0.0426750304678239
"SC","BAT","ELC001",2045,0.0369976578566566
"SC","BAT","ELC001",2046,0.0316652908978827
"SC","BAT","ELC001",2047,0.0301008779094656
"SC","BAT","ELC001",2048,0.0265091588645688
"SC","BAT","ELC001",2049,0.0319041605988511
"SC","BAT","ELC001",2050,0.0316254815754252
"SC","DEMRESELC","RESELC",2019,0.0202685390608056
"SC","DEMRESELC","RESELC",2020,0.0207162510621487
"SC","DEMRESELC","RESELC",2021,0.0211768370635305
"SC","DEMRESELC","RESELC",2022,0.0216508020649524
"SC","DEMRESELC","RESELC",2023,0.0219889720659669
"SC","DEMRESELC","RESELC",2024,0.0228514760685544
"SC","DEMRESELC","RESELC",2025,0.0237358680712076
"SC","DEMRESELC","RESELC",2026,0.0243628530730885
"SC","DEMRESELC","RESELC",2027,0.0249916310749749
"SC","DEMRESELC","RESELC",2028,0.0256222150768666
"SC","DEMRESELC","RESELC",2029,0.0262546200787638
"SC","DEMRESELC","RESELC",2030,0.0268888580806666
"SC","DEMRESELC","RESELC",2031,0.0271955490815866
"SC","DEMRESELC","RESELC",2032,0.0275058760825176
"SC","DEMRESELC","RESELC",2033,0.0278198830834596
"SC","DEMRESELC","RESELC",2034,0.0281376170844128
"SC","DEMRESELC","RESELC",2035,0.0284591240853774
"SC","DEMRESELC","RESELC",2036,0.0287844490863533
"SC","DEMRESELC","RESELC",2037,0.0291136400873409
"SC","DEMRESELC","RESELC",2038,0.0294467460883402
"SC","DEMRESELC","RESELC",2039,0.0297838150893515
"SC","DEMRESELC","RESELC",2040,0.0301248950903747
"SC","DEMRESELC","RESELC",2041,0.0304700370914101
"SC","DEMRESELC","RESELC",2042,0.0308192910924579
"SC","DEMRESELC","RESELC",2043,0.0311727080935181
"SC","DEMRESELC","RESELC",2044,0.0315942600947828
"SC","DEMRESELC","RESELC",2045,0.0320158120960474
"SC","DEMRESELC","RESELC",2046,0.0324373630973121
"SC","DEMRESELC","RESELC",2047,0.0328589150985767
"SC","DEMRESELC","RESELC",2048,0.0332804670998414
"SC","DEMRESELC","RESELC",2049,0.033702019101106
"SC","DEMRESELC","RESELC",2050,0.0341235711023707
"SC","DEMCOMELC","COMELC",2019,0.0396696521190089
"SC","DEMCOMELC","COMELC",2020,0.0295570780886712
"SC","DEMCOMELC","COMELC",2021,0.0309961890929886
"SC","DEMCOMELC","COMELC",2022,0.041197340123592
"SC","DEMCOMELC","COMELC",2023,0.0420447141261341
"SC","DEMCOMELC","COMELC",2024,0.0435138021305414
"SC","DEMCOMELC","COMELC",2025,0.0449848921349547
"SC","DEMCOMELC","COMELC",2026,0.0464292251392877
"SC","DEMCOMELC","COMELC",2027,0.0478735581436207
"SC","DEMCOMELC","COMELC",2028,0.0493178921479537
"SC","DEMCOMELC","COMELC",2029,0.0507622251522867
"SC","DEMCOMELC","COMELC",2030,0.0522065581566197
"SC","DEMCOMELC","COMELC",2031,0.0525242611575728
"SC","DEMCOMELC","COMELC",2032,0.0528451401585354
"SC","DEMCOMELC","COMELC",2033,0.0531692281595077
"SC","DEMCOMELC","COMELC",2034,0.0534965571604897
"SC","DEMCOMELC","COMELC",2035,0.0538271591614815
"SC","DEMCOMELC","COMELC",2036,0.0541610671624832
"SC","DEMCOMELC","COMELC",2037,0.054498315163495
"SC","DEMCOMELC","COMELC",2038,0.0548389341645168
"SC","DEMCOMELC","COMELC",2039,0.0551829601655489
"SC","DEMCOMELC","COMELC",2040,0.0555304271665913
"SC","DEMCOMELC","COMELC",2041,0.0558813671676441
"SC","DEMCOMELC","COMELC",2042,0.0562358181687075
"SC","DEMCOMELC","COMELC",2043,0.0565938131697815
"SC","DEMCOMELC","COMELC",2044,0.0573591371720774
"SC","DEMCOMELC","COMELC",2045,0.0581244611743734
"SC","DEMCOMELC","COMELC",2046,0.0588897851766693
"SC","DEMCOMELC","COMELC",2047,0.0596551091789653
"SC","DEMCOMELC","COMELC",2048,0.0604204331812613
"SC","DEMCOMELC","COMELC",2049,0.0611857571835573
"SC","DEMCOMELC","COMELC",2050,0.0619510811858532
"SC","PWRSOLDIST","ELC001",2019,0.0016
"SC","PWRSOLDIST","ELC001",2020,0.0016
"SC","PWRSOLDIST","ELC001",2021,0.0016
"SC","PWRSOLDIST","ELC001",2022,0.0016
"SC","PWRSOLDIST","ELC001",2023,0.0016
"SC","PWRSOLDIST","ELC001",2024,0.00131511851015105
"SC","PWRSOLDIST","ELC001",2025,0.00145711908337361
"SC","PWRSOLDIST","ELC001",2026,0.00127087544459125
"SC","PWRSOLDIST","ELC001",2027,0.00151450417386276
"SC","PWRSOLDIST","ELC001",2028,0.00142683837946407
"SC","PWRSOLDIST","ELC001",2029,0.0012015915932115
"SC","PWRSOLDIST","ELC001",2030,0.00141987352804364
"SC","PWRSOLDIST","ELC001",2031,0.00138286607805607
"SC","PWRSOLDIST","ELC001",2032,0.00152510934698059
"SC","PWRSOLDIST","ELC001",2033,0.0016
"SC","PWRSOLDIST","ELC001",2034,0.00123061527799445
"SC","PWRSOLDIST","ELC001",2035,0.00132244143373003
"SC","PWRSOLDIST","ELC001",2036,0.00144294749668781
"SC","PWRSOLDIST","ELC001",2037,0.0016
"SC","PWRSOLDIST","ELC001",2038,0.0016
"SC","PWRSOLDIST","ELC001",2039,0.00155049522067551
"SC","PWRSOLDIST","ELC001",2040,0.00158347148104031
"SC","PWRSOLDIST","ELC001",2041,0.0016
"SC","PWRSOLDIST","ELC001",2042,0.0016
"SC","PWRSOLDIST","ELC001",2043,0.0016
"SC","PWRSOLDIST","ELC001",2044,0.0016
"SC","PWRSOLDIST","ELC001",2045,0.0016
"SC","PWRSOLDIST","ELC001",2046,0.002
"SC","PWRSOLDIST","ELC001",2047,0.002
"SC","PWRSOLDIST","ELC001",2048,0.002
"SC","PWRSOLDIST","ELC001",2049,0.002
"SC","PWRSOLDIST","ELC001",2050,0.002
"SC","PWRSOLDIST","DELC",2019,0.0016
"SC","PWRSOLDIST","DELC",2020,0.0016
"SC","PWRSOLDIST","DELC",2021,0.0016
"SC","PWRSOLDIST","DELC",2022,0.0016
"SC","PWRSOLDIST","DELC",2023,0.0016
"SC","PWRSOLDIST","DELC",2024,0.00131511851015105
"SC","PWRSOLDIST","DELC",2025,0.00145711908337361
"SC","PWRSOLDIST","DELC",2026,0.00127087544459125
"SC","PWRSOLDIST","DELC",2027,0.00151450417386276
"SC","PWRSOLDIST","DELC",2028,0.00142683837946407
"SC","PWRSOLDIST","DELC",2029,0.0012015915932115
"SC","PWRSOLDIST","DELC",2030,0.00141987352804364
"SC","PWRSOLDIST","DELC",2031,0.00138286607805607
"SC","PWRSOLDIST","DELC",2032,0.00152510934698059
"SC","PWRSOLDIST","DELC",2033,0.0016
"SC","PWRSOLDIST","DELC",2034,0.00123061527799445
"SC","PWRSOLDIST","DELC",2035,0.00132244143373003
"SC","PWRSOLDIST","DELC",2036,0.00144294749668781
"SC","PWRSOLDIST","DELC",2037,0.0016
"SC","PWRSOLDIST","DELC",2038,0.0016
"SC","PWRSOLDIST","DELC",2039,0.00155049522067551
"SC","PWRSOLDIST","DELC",2040,0.00158347148104031
"SC","PWRSOLDIST","DELC",2041,0.0016
"SC","PWRSOLDIST","DELC",2042,0.0016
"SC","PWRSOLDIST","DELC",2043,0.0016
"SC","PWRSOLDIST","DELC",2044,0.0016
"SC","PWRSOLDIST","DELC",2045,0.0016
"SC","PWRSOLDIST","DELC",2046,0.002
"SC","PWRSOLDIST","DELC",2047,0.002
"SC","PWRSOLDIST","DELC",2048,0.002
"SC","PWRSOLDIST","DELC",2049,0.002
"SC","PWRSOLDIST","DELC",2050,0.002
"SC","IMPLPG","LPG",2019,2.7e-05
"SC","IMPLPG","LPG",2020,2.4e-05
"SC","IMPLPG","LPG",2021,2.5e-05
"SC","IMPLPG","LPG",2022,2.9e-05
"SC","IMPLPG","LPG",2023,2.9e-05
"SC","IMPLPG","LPG",2024,3e-05
"SC","IMPLPG","LPG",2025,3.2e-05
"SC","IMPLPG","LPG",2026,3.3e-05
"SC","IMPLPG","LPG",2027,3.3e-05
"SC","IMPLPG","LPG",2028,3.4e-05
"SC","IMPLPG","LPG",2029,3.5e-05
"SC","IMPLPG","LPG",2030,3.6e-05
"SC","IMPLPG","LPG",2031,3.6e-05
"SC","IMPLPG","LPG",2032,3.7e-05
"SC","IMPLPG","LPG",2033,3.7e-05
"SC","IMPLPG","LPG",2034,3.7e-05
"SC","IMPLPG","LPG",2035,3.8e-05
"SC","IMPLPG","LPG",2036,3.8e-05
"SC","IMPLPG","LPG",2037,3.8e-05
"SC","IMPLPG","LPG",2038,3.9e-05
"SC","IMPLPG","LPG",2039,3.9e-05
"SC","IMPLPG","LPG",2040,3.9e-05
"SC","IMPLPG","LPG",2041,4e-05
"SC","IMPLPG","LPG",2042,4e-05
"SC","IMPLPG","LPG",2043,4e-05
"SC","IMPLPG","LPG",2044,4.1e-05
"SC","IMPLPG","LPG",2045,4.1e-05
"SC","IMPLPG","LPG",2046,4.1e-05
"SC","IMPLPG","LPG",2047,4.2e-05
"SC","IMPLPG","LPG",2048,4.2e-05
"SC","IMPLPG","LPG",2049,4.2e-05
"SC","IMPLPG","LPG",2050,4.3e-05
"SC","CONLPG","DEMLPG",2019,2.7e-05
"SC","CONLPG","DEMLPG",2020,2.4e-05
"SC","CONLPG","DEMLPG",2021,2.5e-05
"SC","CONLPG","DEMLPG",2022,2.9e-05
"SC","CONLPG","DEMLPG",2023,2.9e-05
"SC","CONLPG","DEMLPG",2024,3e-05
"SC","CONLPG","DEMLPG",2025,3.2e-05
"SC","CONLPG","DEMLPG",2026,3.3e-05
"SC","CONLPG","DEMLPG",2027,3.3e-05
