REGION,TIMESLICE,FUEL,YEAR,VALUE
"SC","TM02","COMELC",2042,0.000328975992443466
"SC","TM02","COMELC",2043,0.000331070240639781
"SC","TM02","COMELC",2044,0.000335547337824369
"SC","TM02","COMELC",2045,0.000340024435008957
"SC","TM02","COMELC",2046,0.000344501532193545
"SC","TM02","COMELC",2047,0.000348978629378133
"SC","TM02","COMELC",2048,0.000353455726562721
"SC","TM02","COMELC",2049,0.000357932823747309
"SC","TM02","COMELC",2050,0.000362409920931897
"SC","TM02","RESELC",2019,0.000118569676232043
"SC","TM02","RESELC",2020,0.000121188763226187
"SC","TM02","RESELC",2021,0.000123883162309269
"SC","TM02","RESELC",2022,0.000126655827699474
"SC","TM02","RESELC",2023,0.000128634100894764
"SC","TM02","RESELC",2024,0.000133679694957012
"SC","TM02","RESELC",2025,0.000138853332440316
"SC","TM02","RESELC",2026,0.000142521155190261
"SC","TM02","RESELC",2027,0.000146199466877247
"SC","TM02","RESELC",2028,0.000149888343550455
"SC","TM02","RESELC",2029,0.00015358787295894
"SC","TM02","RESELC",2030,0.000157298125301946
"SC","TM02","RESELC",2031,0.000159092248330413
"SC","TM02","RESELC",2032,0.000160907641729812
"SC","TM02","RESELC",2033,0.000162744562897371
"SC","TM02","RESELC",2034,0.000164603286780129
"SC","TM02","RESELC",2035,0.000166484082475188
"SC","TM02","RESELC",2036,0.000168387213229713
"SC","TM02","RESELC",2037,0.00017031295984068
"SC","TM02","RESELC",2038,0.000172261608955002
"SC","TM02","RESELC",2039,0.000174233441369655
"SC","TM02","RESELC",2040,0.000176228737881615
"SC","TM02","RESELC",2041,0.000178247796837669
"SC","TM02","RESELC",2042,0.000180290910734667
"SC","TM02","RESELC",2043,0.000182358377919396
"SC","TM02","RESELC",2044,0.00018482443056162
"SC","TM02","RESELC",2045,0.000187290483203844
"SC","TM02","RESELC",2046,0.000189756529996131
"SC","TM02","RESELC",2047,0.000192222582638355
"SC","TM02","RESELC",2048,0.000194688635280579
"SC","TM02","RESELC",2049,0.000197154687922803
"SC","TM02","RESELC",2050,0.000199620740565027
"SC","TM02","TX",2025,8.2981267827227e-05
"SC","TM02","TX",2026,9.5687549447644e-05
"SC","TM02","TX",2027,0.000108268299813905
"SC","TM02","TX",2028,0.000120974208753706
"SC","TM02","TX",2029,0.000133689201783522
"SC","TM02","TX",2030,0.000144128467216811
"SC","TM02","TX",2031,0.000151376468535292
"SC","TM02","TX",2032,0.000157943877407162
"SC","TM02","TX",2033,0.000164326405636778
"SC","TM02","TX",2034,0.000169968401954043
"SC","TM02","TX",2035,0.000175139128104017
"SC","TM02","TX",2036,0.000179841503418192
"SC","TM02","TX",2037,0.000184242613039408
"SC","TM02","TX",2038,0.000187943595538391
"SC","TM02","TX",2039,0.000191581424201321
"SC","TM02","TX",2040,0.000194652436704033
"SC","TM02","TX",2041,0.000197772643048057
"SC","TM02","TX",2042,0.000200892833863722
"SC","TM02","TX",2043,0.000204013024679387
"SC","TM02","TX",2044,0.000207133231023411
"SC","TM02","TX",2045,0.000210253421839076
"SC","TM02","TX",2046,0.0002133736281831
"SC","TM02","TX",2047,0.000216493818998765
"SC","TM02","TX",2048,0.00021961400981443
"SC","TM02","TX",2049,0.000222734216158454
"SC","TM02","TX",2050,0.000225854406974119
"SC","TM03","COMELC",2019,0.000355655805487576
"SC","TM03","COMELC",2020,0.000264992150270164
"SC","TM03","COMELC",2021,0.000277894410715782
"SC","TM03","COMELC",2022,0.00036935219753492
"SC","TM03","COMELC",2023,0.000376949276594732
"SC","TM03","COMELC",2024,0.000390120293975276
"SC","TM03","COMELC",2025,0.000403309260162696
"SC","TM03","COMELC",2026,0.00041625833812555
"SC","TM03","COMELC",2027,0.000429207416088404
"SC","TM03","COMELC",2028,0.000442156503016696
"SC","TM03","COMELC",2029,0.00045510558097955
"SC","TM03","COMELC",2030,0.000468054658942404
"SC","TM03","COMELC",2031,0.000470903005491318
"SC","TM03","COMELC",2032,0.00047377982627132
"SC","TM03","COMELC",2033,0.000476685417141864
"SC","TM03","COMELC",2034,0.000479620064996966
"SC","TM03","COMELC",2035,0.000482584056730642
"SC","TM03","COMELC",2036,0.000485577688202346
"SC","TM03","COMELC",2037,0.00048860126423697
"SC","TM03","COMELC",2038,0.000491655062763092
"SC","TM03","COMELC",2039,0.00049473940653648
"SC","TM03","COMELC",2040,0.000497854600382026
"SC","TM03","COMELC",2041,0.000501000931193746
"SC","TM03","COMELC",2042,0.000504178739658284
"SC","TM03","COMELC",2043,0.000507388321635094
"SC","TM03","COMELC",2044,0.000514249786507006
"SC","TM03","COMELC",2045,0.000521111251378918
"SC","TM03","COMELC",2046,0.00052797271625083
"SC","TM03","COMELC",2047,0.000534834181122742
"SC","TM03","COMELC",2048,0.000541695645994654
"SC","TM03","COMELC",2049,0.000548557110866566
"SC","TM03","COMELC",2050,0.000555418575738478
"SC","TM03","RESELC",2019,0.000181716329755082
"SC","TM03","RESELC",2020,0.000185730263932938
"SC","TM03","RESELC",2021,0.000189859619159606
"SC","TM03","RESELC",2022,0.000194108922981276
"SC","TM03","RESELC",2023,0.000197140765149736
"SC","TM03","RESELC",2024,0.000204873491286488
"SC","TM03","RESELC",2025,0.000212802452930184
"SC","TM03","RESELC",2026,0.000218423648074614
"SC","TM03","RESELC",2027,0.000224060918249378
"SC","TM03","RESELC",2028,0.00022971438000517
"SC","TM03","RESELC",2029,0.00023538416782356
"SC","TM03","RESELC",2030,0.000241070389289804
"SC","TM03","RESELC",2031,0.000243820008435462
"SC","TM03","RESELC",2032,0.000246602225913688
"SC","TM03","RESELC",2033,0.000249417436203754
"SC","TM03","RESELC",2034,0.000252266060681246
"SC","TM03","RESELC",2035,0.000255148511756312
"SC","TM03","RESELC",2036,0.000258065192873662
"SC","TM03","RESELC",2037,0.00026101653437432
"SC","TM03","RESELC",2038,0.000264002975564748
"SC","TM03","RESELC",2039,0.00026702494678597
"SC","TM03","RESELC",2040,0.00027008287837901
"SC","TM03","RESELC",2041,0.000273177227581206
"SC","TM03","RESELC",2042,0.000276308442664458
"SC","TM03","RESELC",2043,0.000279476980866104
"SC","TM03","RESELC",2044,0.00028325637918588
"SC","TM03","RESELC",2045,0.000287035777505656
"SC","TM03","RESELC",2046,0.000290815166859994
"SC","TM03","RESELC",2047,0.00029459456517977
"SC","TM03","RESELC",2048,0.000298373963499546
"SC","TM03","RESELC",2049,0.000302153361819322
"SC","TM03","RESELC",2050,0.000305932760139098
"SC","TM03","TX",2025,1.9143514387579e-05
"SC","TM03","TX",2026,2.2074813117788e-05
"SC","TM03","TX",2027,2.4977152187185e-05
"SC","TM03","TX",2028,2.7908364941162e-05
"SC","TM03","TX",2029,3.0841673365794e-05
"SC","TM03","TX",2030,3.3249978676747e-05
"SC","TM03","TX",2031,3.4922069513084e-05
"SC","TM03","TX",2032,3.6437149838074e-05
"SC","TM03","TX",2033,3.7909578787306e-05
"SC","TM03","TX",2034,3.9211169381211e-05
"SC","TM03","TX",2035,4.0404039447409e-05
"SC","TM03","TX",2036,4.1488862466384e-05
"SC","TM03","TX",2037,4.2504184448816e-05
"SC","TM03","TX",2038,4.3357989332407e-05
"SC","TM03","TX",2039,4.4197224827017e-05
"SC","TM03","TX",2040,4.4905697637441e-05
"SC","TM03","TX",2041,4.5625519310489e-05
"SC","TM03","TX",2042,4.6345337401194e-05
"SC","TM03","TX",2043,4.7065155491899e-05
"SC","TM03","TX",2044,4.7784977164947e-05
"SC","TM03","TX",2045,4.8504795255652e-05
"SC","TM03","TX",2046,4.92246169287e-05
"SC","TM03","TX",2047,4.9944435019405e-05
"SC","TM03","TX",2048,5.066425311011e-05
"SC","TM03","TX",2049,5.1384074783158e-05
"SC","TM03","TX",2050,5.2103892873863e-05
"SC","TM04","COMELC",2019,0.000496764446929212
"SC","TM04","COMELC",2020,0.000370129425524418
"SC","TM04","COMELC",2021,0.000388150737634359
