REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM01","PWRDIST",1,2047,0.173395269864616
"SC","TM01","PWRDIST",1,2048,0.175619783245591
"SC","TM01","PWRDIST",1,2049,0.177844296626566
"SC","TM01","PWRDIST",1,2050,0.0575449301338706
"SC","TM01","IMPLPG",1,2019,0.000143999995392
"SC","TM01","IMPLPG",1,2020,0.000127999995904
"SC","TM01","IMPLPG",1,2021,0.000133333329066667
"SC","TM01","IMPLPG",1,2022,0.000154666661717333
"SC","TM01","IMPLPG",1,2023,0.000154666661717333
"SC","TM01","IMPLPG",1,2024,0.00015999999488
"SC","TM01","IMPLPG",1,2025,0.000170666661205333
"SC","TM01","IMPLPG",1,2026,0.000175999994368
"SC","TM01","IMPLPG",1,2027,0.000175999994368
"SC","TM01","IMPLPG",1,2028,0.000181333327530667
"SC","TM01","IMPLPG",1,2029,0.000186666660693334
"SC","TM01","IMPLPG",1,2030,0.000191999993856
"SC","TM01","IMPLPG",1,2031,0.000191999993856
"SC","TM01","IMPLPG",1,2032,0.000197333327018667
"SC","TM01","IMPLPG",1,2033,0.000197333327018667
"SC","TM01","IMPLPG",1,2034,0.000197333327018667
"SC","TM01","IMPLPG",1,2035,0.000202666660181334
"SC","TM01","IMPLPG",1,2036,0.000202666660181334
"SC","TM01","IMPLPG",1,2037,0.000202666660181334
"SC","TM01","IMPLPG",1,2038,0.000207999993344
"SC","TM01","IMPLPG",1,2039,0.000207999993344
"SC","TM01","IMPLPG",1,2040,0.000207999993344
"SC","TM01","IMPLPG",1,2041,0.000213333326506667
"SC","TM01","IMPLPG",1,2042,0.000213333326506667
"SC","TM01","IMPLPG",1,2043,0.000213333326506667
"SC","TM01","IMPLPG",1,2044,0.000218666659669334
"SC","TM01","IMPLPG",1,2045,0.000218666659669334
"SC","TM01","IMPLPG",1,2046,0.000218666659669334
"SC","TM01","IMPLPG",1,2047,0.000223999992832
"SC","TM01","IMPLPG",1,2048,0.000223999992832
"SC","TM01","IMPLPG",1,2049,0.000223999992832
"SC","TM01","IMPLPG",1,2050,0.000229333325994667
"SC","TM01","CONLPG",1,2019,0.000143999995392
"SC","TM01","CONLPG",1,2020,0.000127999995904
"SC","TM01","CONLPG",1,2021,0.000133333329066667
"SC","TM01","CONLPG",1,2022,0.000154666661717333
"SC","TM01","CONLPG",1,2023,0.000154666661717333
"SC","TM01","CONLPG",1,2024,0.00015999999488
"SC","TM01","CONLPG",1,2025,0.000170666661205333
"SC","TM01","CONLPG",1,2026,0.000175999994368
"SC","TM01","CONLPG",1,2027,0.000175999994368
"SC","TM01","CONLPG",1,2028,0.000181333327530667
"SC","TM01","CONLPG",1,2029,0.000186666660693334
"SC","TM01","CONLPG",1,2030,0.000191999993856
"SC","TM01","CONLPG",1,2031,0.000191999993856
"SC","TM01","CONLPG",1,2032,0.000197333327018667
"SC","TM01","CONLPG",1,2033,0.000197333327018667
"SC","TM01","CONLPG",1,2034,0.000197333327018667
"SC","TM01","CONLPG",1,2035,0.000202666660181334
"SC","TM01","CONLPG",1,2036,0.000202666660181334
"SC","TM01","CONLPG",1,2037,0.000202666660181334
"SC","TM01","CONLPG",1,2038,0.000207999993344
