REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","TM01","DEMCOMELC","ELC002",2033,0.0318462721106899
"SC","TM01","DEMCOMELC","ELC002",2034,0.0320423292812721
"SC","TM01","DEMCOMELC","ELC002",2035,0.0322403468498616
"SC","TM01","DEMCOMELC","ELC002",2036,0.0324403445821577
"SC","TM01","DEMCOMELC","ELC002",2037,0.0326423428428205
"SC","TM01","DEMCOMELC","ELC002",2038,0.0328463601996283
"SC","TM01","DEMCOMELC","ELC002",2039,0.0330524182151623
"SC","TM01","DEMCOMELC","ELC002",2040,0.0332605372540824
"SC","TM01","DEMCOMELC","ELC002",2041,0.0334707364831276
"SC","TM01","DEMCOMELC","ELC002",2042,0.0336830386628001
"SC","TM01","DEMCOMELC","ELC002",2043,0.0338974635587995
"SC","TM01","DEMCOMELC","ELC002",2044,0.0343558624724877
"SC","TM01","DEMCOMELC","ELC002",2045,0.0348142613861759
"SC","TM01","DEMCOMELC","ELC002",2046,0.0352726602998642
"SC","TM01","DEMCOMELC","ELC002",2047,0.0357310592135524
"SC","TM01","DEMCOMELC","ELC002",2048,0.0361894581272406
"SC","TM01","DEMCOMELC","ELC002",2049,0.0366478570409288
"SC","TM01","DEMCOMELC","ELC002",2050,0.0371062559546171
"SC","TM01","PWRDIST","ELC001",2019,0.0359006141749605
"SC","TM01","PWRDIST","ELC001",2020,0.0301117427404483
"SC","TM01","PWRDIST","ELC001",2021,0.031249586374173
"SC","TM01","PWRDIST","ELC001",2022,0.0376435601393964
"SC","TM01","PWRDIST","ELC001",2023,0.0383536542717242
"SC","TM01","PWRDIST","ELC001",2024,0.0397501859889631
"SC","TM01","PWRDIST","ELC001",2025,0.0411610268746692
"SC","TM01","PWRDIST","ELC001",2026,0.0424016647236101
"SC","TM01","PWRDIST","ELC001",2027,0.0436433765088869
"SC","TM01","PWRDIST","ELC001",2028,0.0448861706159476
"SC","TM01","PWRDIST","ELC001",2029,0.04613005483128
"SC","TM01","PWRDIST","ELC001",2030,0.0473750369413717
"SC","TM01","PWRDIST","ELC001",2031,0.0477490243392757
"SC","TM01","PWRDIST","ELC001",2032,0.0481270918567108
"SC","TM01","PWRDIST","ELC001",2033,0.0485092856136424
"SC","TM01","PWRDIST","ELC001",2034,0.0488956529279569
"SC","TM01","PWRDIST","ELC001",2035,0.0492862405185804
"SC","TM01","PWRDIST","ELC001",2036,0.0496810951044387
"SC","TM01","PWRDIST","ELC001",2037,0.0500802658003001
"SC","TM01","PWRDIST","ELC001",2038,0.0504838005230118
"SC","TM01","PWRDIST","ELC001",2039,0.159249768236771
"SC","TM01","PWRDIST","ELC001",2040,0.160540283855025
"SC","TM01","PWRDIST","ELC001",2041,0.0517210877864188
"SC","TM01","PWRDIST","ELC001",2042,0.0521425793475837
"SC","TM01","PWRDIST","ELC001",2043,0.0525686870980068
"SC","TM01","PWRDIST","ELC001",2044,0.166721731595951
"SC","TM01","PWRDIST","ELC001",2045,0.0539904709936709
"SC","TM01","PWRDIST","ELC001",2046,0.171170756483641
"SC","TM01","PWRDIST","ELC001",2047,0.0554122542903745
"SC","TM01","PWRDIST","ELC001",2048,0.175619783245591
"SC","TM01","PWRDIST","ELC001",2049,0.0568340381860386
"SC","TM01","PWRDIST","ELC001",2050,0.0575449301338706
"SC","TM01","CONLPG","LPG",2019,0.000143999995392
"SC","TM01","CONLPG","LPG",2020,0.000127999995904
"SC","TM01","CONLPG","LPG",2021,0.000133333329066667
"SC","TM01","CONLPG","LPG",2022,0.000154666661717333
