REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM01","PWRWND",1,2030,0.0205797764783232
"SC","TM01","PWRWND",1,2031,0.0205797764783232
"SC","TM01","PWRWND",1,2032,0.0205797764783232
"SC","TM01","PWRWND",1,2033,0.0137198509855488
"SC","TM01","PWRWND",1,2034,0.0137198509855488
"SC","TM01","PWRWND",1,2035,0.0137198509855488
"SC","TM01","PWRWND",1,2036,0.0137198509855488
"SC","TM01","PWRWND",1,2037,0.0137198509855488
"SC","TM01","PWRWND",1,2038,0.0104838018030118
"SC","TM01","PWRWND",1,2039,0.0137198509855488
"SC","TM01","PWRWND",1,2040,0.0137198509855488
"SC","TM01","PWRWND",1,2041,0.0137198509855488
"SC","TM01","PWRWND",1,2042,0.0137198509855488
"SC","TM01","PWRWND",1,2043,0.0137198509855488
"SC","TM01","PWRWND",1,2044,0.0137198509855488
"SC","TM01","PWRWND",1,2045,0.0137198509855488
"SC","TM01","PWRWND",1,2046,0.0137198509855488
"SC","TM01","PWRWND",1,2047,0.0137198509855488
"SC","TM01","PWRWND",1,2048,0.0137198509855488
"SC","TM01","PWRWND",1,2049,0.00319286020488238
"SC","TM01","PWRWND",1,2050,0.00319286020488238
"SC","TM01","BAT",1,2045,0.000270621288122105
"SC","TM01","BAT",1,2046,0.000981512636993588
"SC","TM01","BAT",1,2047,0.00169240458482565
"SC","TM01","BAT",1,2048,0.00240329653265772
"SC","TM01","BAT",1,2049,0.0136411792611562
"SC","TM01","BAT",1,2050,0.0143520712089883
"SC","TM01","DEMRESELC",1,2019,0.0121400560542299
"SC","TM01","DEMRESELC",1,2020,0.0124082178973776
"SC","TM01","DEMRESELC",1,2021,0.012684090759146
"SC","TM01","DEMRESELC",1,2022,0.0129679771146324
"SC","TM01","DEMRESELC",1,2023,0.0131705276169581
"SC","TM01","DEMRESELC",1,2024,0.0136871335206691
"SC","TM01","DEMRESELC",1,2025,0.0142168494737486
"SC","TM01","DEMRESELC",1,2026,0.0145923887785382
"SC","TM01","DEMRESELC",1,2027,0.0149690020196636
"SC","TM01","DEMRESELC",1,2028,0.0153466969836124
"SC","TM01","DEMRESELC",1,2029,0.0157254826547935
"SC","TM01","DEMRESELC",1,2030,0.0161053662207339
"SC","TM01","DEMRESELC",1,2031,0.0162890620426838
"SC","TM01","DEMRESELC",1,2032,0.0164749356853347
"SC","TM01","DEMRESELC",1,2033,0.0166630135029524
"SC","TM01","DEMRESELC",1,2034,0.0168533236466848
"SC","TM01","DEMRESELC",1,2035,0.0170458936687188
"SC","TM01","DEMRESELC",1,2036,0.017240750522281
"SC","TM01","DEMRESELC",1,2037,0.0174379229574796
"SC","TM01","DEMRESELC",1,2038,0.0176374403233835
