REGION,STORAGE,YEAR,VALUE
"SC","Batteries",2019,0.999961123
"SC","Batteries",2027,1
"SC","Batteries",2037,1
"SC","Batteries",2041,1
"STC","Batteries",2019,0.999953564
"STC","Batteries",2027,1
"STC","Batteries",2037,1
"STC","Batteries",2041,1
"IS","Batteries",2019,0.999985637
"IS","Batteries",2027,1
"IS","Batteries",2037,1
"IS","Batteries",2041,1
"FL","Batteries",2019,0.999995896
"FL","Batteries",2027,1
"FL","Batteries",2037,1
"FL","Batteries",2041,1
